;LATITUDE;LONGITUDE;ALTITUDE;REGIÃO;ESTADO;NOME;CODIGO
2021;-22.09833333;-43.20833333;295.0;SE;RJ;TRES RIOS;A625
2021;-22.98833333;-43.19055555;25.59;SE;RJ;RIO DE JANEIRO - FORTE DE COPACABANA;A652
2021;-9.56333333;-57.3936111;217.75;CO;MT;APIACAS;A910
2021;-17.923622;-51.717467;670.08;CO;GO;JATAI;A016
2021;-18.969142;-50.633449;492.45;CO;GO;SAO SIMAO;A011
2021;-27.80222222;-50.33555555;952.7;S;SC;LAGES;A865
2021;-9.35833333;-69.92638888;184.51;N;AC;PARQUE ESTADUAL CHANDLESS;A102
2021;-22.04166666;-41.05166666;7.0;SE;RJ;CAMPOS DOS GOYTACAZES - SAO TOME;A620
2021;-10.9525;-37.05444444;3.72;NE;SE;ARACAJU;A409
2021;-22.37277777;-50.97472221;398.75;SE;SP;RANCHARIA;A718
2021;-8.05916666;-34.95916666;11.3;NE;PE;RECIFE;A301
2021;-9.74916666;-37.43083332;20.83;NE;AL;PAO DE ACUCAR;A323
2021;-13.253521;-46.890326;551.33;CO;GO;MONTE ALEGRE DE GOIAS;A032
2021;-2.0;-54.07638888;100.53;N;PA;MONTE ALEGRE;A239
2021;-25.69916666;-53.09527777;545.95;S;PR;DOIS VIZINHOS;A843
2021;-20.91;-47.11416666;845.0;SE;MG;SAO SEBASTIAO DO PARAISO;A561
2021;-14.40833333;-44.40416666;519.52;SE;MG;MONTALVANIA;A526
2021;-23.505266;-49.946387;512.67;S;PR;JOAQUIM TAVORA;A821
2021;-22.86166666;-46.04333333;1544.89;SE;MG;MONTE VERDE;A509
2021;-19.481935;-45.593932;721.09;SE;MG;DORES DO INDAIA;A536
2021;-28.222381;-51.512845;833.83;S;RS;LAGOA VERMELHA;A844
2021;-24.57083332;-52.80027777;598.0;S;PR;CAMPINA DA LAGOA;B803
2021;-20.78333333;-51.71222222;328.94;CO;MS;TRES LAGOAS;A704
2021;-21.54666666;-43.26111111;411.14;SE;MG;CORONEL PACHECO;A557
2021;-17.33694444;-49.91472222;608.0;CO;GO;EDEIA;A029
2021;-13.30388888;-58.76333333;105.0;CO;MT;SAPEZAL;A911
2021;-11.05861111;-38.44416666;182.0;NE;BA;RIBEIRA DO AMPARO;A458
2019;-12.627315;-52.220891;360.59;CO;MT;QUERENCIA;A916
2021;-31.34777777;-54.01333333;226.19;S;RS;BAGE;A827
2021;0.03499999;-51.08888888;16.62;N;AP;MACAPA;A249
2021;-18.830354;-41.977007;198.24;SE;MG;GOVERNADOR VALADARES;A532
2021;-12.80833333;-38.49583333;31.0;NE;BA;SALVADOR (RADIO FAROL);A456
2021;-15.32472221;-57.22583332;147.75;CO;MT;PORTO ESTRELA;A935
2021;-6.01749999;-40.28138888;410.87;NE;CE;TAUA;A324
2021;-23.359156;-52.931912;365.79;S;PR;CIDADE GAUCHA;A869
2021;-15.93972221;-50.14138888;512.86;CO;GO;GOIAS;A014
2021;-29.35027777;-49.73333333;8.44;S;RS;TORRES;A808
2021;-6.46749999;-37.08499999;171.26;NE;RN;CAICO;A316
2021;-10.39972221;-37.74749999;289.92;NE;SE;CARIRA;A420
2021;-23.52388888;-46.86944443;776.5;SE;SP;BARUERI;A755
2021;-24.96277777;-48.41638888;659.89;SE;SP;BARRA DO TURVO;A746
2018;-10.78999999;-65.33277777;;N;RO;DTCEA GUAJARA-MIRIM;S110
2018;4.47749999;-61.14916666;;N;RR;PACARAIMA;S114
2021;-7.26055555;-64.7886111;61.91;N;AM;LABREA;A111
2021;-27.288624;-50.604283;978.1;S;SC;CURITIBANOS;A860
2021;-28.60444444;-48.81333333;34.36;S;SC;Laguna  - Farol de Santa Marta;A866
2021;-9.8336111;-39.49555555;450.6;NE;BA;UAUA;A435
2021;-22.653579;-44.040916;516.0;SE;RJ;RIO CLARO;A626
2021;-15.93527777;-48.13749999;990.0;CO;DF;GAMA (PONTE ALTA);A046
2021;-5.6436111;-48.11194444;130.71;N;TO;ARAGUATINS;A044
2021;-22.867389;-43.102056;6.0;SE;RJ;NITEROI;A627
2021;-21.980353;-47.883927;859.29;SE;SP;SAO CARLOS;A711
2021;-15.24472221;-40.22944443;271.48;NE;BA;ITAPETINGA;A446
2021;-22.0786111;-53.46583333;372.0;CO;MS;NOVA ANDRADINA;S713
2021;-14.13305554;-47.52333332;1264.7;CO;GO;ALTO PARAISO DE GOIAS;A024
2021;-16.962536;-50.42545;678.74;CO;GO;PARAUNA;A027
2021;-22.30055555;-53.82277777;377.36;CO;MS;IVINHEMA;A709
2021;-3.27027777;-52.39472221;191.0;N;PA;ALTAMIRA;A253
2021;-10.98472221;-39.61694443;310.11;NE;BA;QUEIMADAS;A436
2021;-23.98194443;-48.88583333;743.33;SE;SP;ITAPEVA;A714
2021;-21.60916666;-55.17749999;388.94;CO;MS;MARACAJU;A731
2021;-6.835777;-38.311583;237.04;NE;PB;SAO GONCALO;A333
2021;-22.3761111;-41.81194444;28.0;SE;RJ;MACAE;A608
2021;-20.39555555;-56.43166666;132.49;CO;MS;MIRANDA;A722
2021;-1.30083333;-47.94805555;47.13;N;PA;CASTANHAL;A202
2021;-10.828286;-49.847882;178.0;N;TO;LAGOA DA CONFUSAO;A055
2021;-25.83555555;-50.36888888;780.21;S;PR;SAO MATEUS DO SUL;A874
2021;-15.23444444;-59.3461111;272.53;CO;MT;PONTES E LACERDA;A937
2021;-10.72305554;-43.65111111;506.06;NE;BA;BURITIRAMA;A432
2021;-21.31916666;-50.93027777;381.9;SE;SP;VALPARAISO;A734
2021;-8.15472222;-46.63944444;426.56;N;TO;CAMPOS LINDOS;A043
2021;-1.411228;-48.439512;21.17;N;PA;BELEM;A201
2021;-26.41722221;-52.3486111;966.06;S;PR;CLEVELANDIA;A876
2021;-2.53472221;-57.75805555;18.49;N;AM;URUCARA;A124
2021;-20.26333333;-42.18277777;819.47;SE;MG;MANHUACU;A556
2021;-17.24444444;-46.88166666;705.0;SE;MG;PARACATU;A571
