REGIÃO;ESTADO;NOME;CODIGO;LATITUDE;LONGITUDE;ALTITUDE;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
SE;RJ;PARATI;A619;-23.2236111;-44.72694443;3.0;;;;;;;0.0465753424657534;0.0027397260273972;0.0136612021857923;0.0;0.0;0.0;0.0054644808743169;0.1287671232876712;0.0;0.0520547945205479;0.0109289617486338;0.0;0.0;0.0;0.0027322404371584;0.4164383561643835
N;AM;EIRUNEPE;A109;-6.65027777;-69.8686111;121.54;;;;;;;;;;;;;0.0;0.0;0.0054794520547945;0.0;0.4836065573770491;1.0;0.8136986301369863;0.1068493150684931;0.6666666666666666;1.0
SE;SP;BEBEDOURO;A764;-20.94916666;-48.48999999;790.0;;;;;;;;;;;;;;;;;0.0109289617486338;0.0;0.0246575342465753;0.0;0.6885245901639344;0.4273972602739726
SE;MG;CURVELO;A538;-18.747711;-44.453785;669.48;;;;;;;0.0;0.0082191780821917;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1260273972602739
NE;PI;CORRENTE;A374;-10.42916666;-45.17305554;452.0;;;;;;;;;;;;;;;;;;;0.0;0.0;0.2650273224043716;0.6794520547945205
S;SC;ITAPOA;A851;-26.08138888;-48.64166666;6.18;;;;;;;;0.0301369863013698;0.0;0.0;0.0931506849315068;0.2356164383561644;0.0163934426229508;0.0383561643835616;0.0;0.1123287671232876;0.0;0.0;0.0;0.2630136986301369;0.0300546448087431;0.852054794520548
SE;MG;MARIA DA FE;A531;-22.314567;-45.373049;1281.43;;;;;;;0.0;0.2410958904109589;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
N;RO;DTCEA VILHENA;S104;-12.75055555;-60.14916666;;;;;;;;;;;;;;;;;;0.0846994535519125;0.3698630136986301;0.5232876712328767;;;
NE;RN;ARQ.SAO PEDRO E SAO PAULO;A302;0.916877;-29.345904;15.0;;;;0.0958904109589041;0.6229508196721312;0.6767123287671233;0.4136986301369863;0.3260273972602739;0.3387978142076502;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5698630136986301;0.0054794520547945;0.6311475409836066;
CO;MS;ANGELICA;S701;-22.148083;-53.763736;347.0;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0493150684931506
