"60";"60";"1";"-46,8666666667";"-18,85";NULL;"Amostra extra";"1000,0";"E20";NULL;NULL;NULL;NULL;NULL;"Corte de estrada";NULL;"0"
"61";"61";"1";"-46,2666666667";"-19,45";NULL;"Amostra extra";"1070,0";"E65";NULL;NULL;NULL;NULL;NULL;"Tradagem";NULL;"0"
"62";"62";"1";"-46,3";"-19,4333333333";NULL;"Amostra extra";"1120,0";"E33";NULL;NULL;NULL;NULL;NULL;"Tradagem";NULL;"0"
"63";"63";"1";"-46,2169678855";"-19,4169786325";NULL;"Perfil completo";"1,1";"AP-7";NULL;NULL;NULL;NULL;NULL;"Trincheira";NULL;"0"
"64";"64";"1";"-47,7333333333";"-18,7166666667";NULL;"Amostra extra";"920,0";"E63";NULL;NULL;NULL;NULL;NULL;"Tradagem";NULL;"0"
"65";"65";"1";"-47,1";"-18,4";NULL;"Amostra extra";"870,0";"E52";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"66";"66";"1";"-46,1333333333";"-19,25";NULL;"Amostra extra";"1130,0";"E32";NULL;NULL;NULL;NULL;NULL;"Tradagem";NULL;"0"
"67";"67";"1";"-45,4166666667";"-17,9333333333";NULL;"Amostra extra";"900,0";"E48";NULL;NULL;NULL;NULL;NULL;"Tradagem";NULL;"0"
"68";"68";"1";"-43,5";"-18,1";NULL;"Perfil completo";"720,0";"AP-25";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"69";"69";"1";"-45,45";"-17,8833333333";NULL;"Amostra extra";"900,0";"E47";NULL;NULL;NULL;NULL;NULL;"Tradagem";NULL;"0"
"70";"70";"1";"-47,2833333333";"-19,7166666667";NULL;"Amostra extra";"1140,0";"E66";NULL;NULL;NULL;NULL;NULL;"Tradagem";NULL;"0"
"71";"71";"1";"-46,0166666667";"-19,25";NULL;"Perfil completo";"1080,0";"AP-8";NULL;NULL;NULL;NULL;NULL;"Trincheira";NULL;"0"
"72";"72";"1";"-47,4666666667";"-18,6833333333";NULL;"Amostra extra";"810,0";"E11";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"73";"73";"1";"-47,4333333333";"-18,5666666667";NULL;"Amostra extra";"870,0";"E16";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
